index	prediction
0	positive
1	positive
2	negative
3	positive
4	positive
5	neutral
6	positive
7	positive
8	neutral
9	positive
10	neutral
11	positive
12	positive
13	negative
14	positive
15	negative
16	positive
17	negative
18	negative
19	negative
20	neutral
21	positive
22	negative
23	negative
24	positive
25	negative
26	negative
27	positive
28	negative
29	negative
30	positive
31	negative
32	negative
33	negative
34	negative
35	positive
36	positive
37	positive
38	negative
39	positive
40	negative
41	positive
42	positive
43	negative
44	negative
45	negative
46	positive
47	negative
48	negative
49	negative
50	positive
51	positive
52	positive
53	negative
54	negative
55	negative
56	positive
57	negative
58	positive
59	negative
60	positive
61	positive
62	negative
63	positive
64	negative
65	negative
66	positive
67	positive
68	negative
69	neutral
70	neutral
71	positive
72	negative
73	positive
74	positive
75	negative
76	positive
77	positive
78	negative
79	positive
80	negative
81	negative
82	positive
83	neutral
84	negative
85	positive
86	negative
87	positive
88	positive
89	positive
90	positive
91	neutral
92	negative
93	neutral
94	negative
95	neutral
96	negative
97	neutral
98	negative
99	positive
100	negative
101	positive
102	positive
103	negative
104	negative
105	positive
106	negative
107	negative
108	neutral
109	negative
110	negative
111	positive
112	negative
113	positive
114	positive
115	positive
116	negative
117	positive
118	positive
119	neutral
120	negative
121	positive
122	positive
123	negative
124	negative
125	negative
126	negative
127	positive
128	negative
129	positive
130	negative
131	negative
132	negative
133	negative
134	negative
135	negative
136	negative
137	positive
138	neutral
139	neutral
140	negative
141	positive
142	neutral
143	positive
144	positive
145	negative
146	negative
147	positive
148	positive
149	positive
150	positive
151	negative
152	neutral
153	positive
154	negative
155	positive
156	negative
157	positive
158	positive
159	positive
160	positive
161	positive
162	negative
163	negative
164	positive
165	positive
166	negative
167	positive
168	negative
169	positive
170	positive
171	negative
172	positive
173	positive
174	negative
175	positive
176	positive
177	negative
178	negative
179	negative
180	positive
181	negative
182	positive
183	positive
184	positive
185	negative
186	positive
187	negative
188	negative
189	negative
190	negative
191	positive
192	negative
193	negative
194	positive
195	negative
196	negative
197	positive
198	negative
199	positive
200	negative
201	positive
202	positive
203	positive
204	positive
205	negative
206	positive
207	negative
208	negative
209	positive
210	positive
211	positive
212	positive
213	negative
214	negative
215	negative
216	positive
217	positive
218	positive
219	negative
220	negative
221	negative
222	neutral
223	positive
224	positive
225	positive
226	negative
227	neutral
228	negative
229	positive
230	negative
231	negative
232	negative
233	positive
234	negative
235	positive
236	positive
237	positive
238	positive
239	negative
240	positive
241	negative
242	positive
243	positive
244	positive
245	negative
246	positive
247	negative
248	negative
249	negative
250	positive
251	positive
252	positive
253	positive
