tweet	label
Heho! 😀Mazi Dedem, biko Che ta kwam na afor a ayin Cho RI bha. Chukwu gozie gi	positive
Nwanne ụmụ South adịghị achị cha cha....same thing in my home town too..... Ozubulu ịma na ụmụ nne anyị nọ South karịrị ma na há na enye nsogbu	negative
Chere go di Thay nurse, wetin be her own 🤣🤣🤣🤣🤣 Obi ufo ga egbu ya o	negative
Nwoke di njo o	negative
Hshsjakqkqkhsgyakakjbsjamhusja Onye bu ifea bikonu 🙄	negative
Ara ga gba ndi ara nwane 🎶🎶	negative
🤣🤣🤣 nri oga na esekwa okwu.	negative
😂 Isy, onye uwa'oma. 🙌	positive
Tawaa gị ọnụ 😒	negative
#NP Ogo amaka na oge #OBINWANNE W/	positive
Aka ajaja na-ebute ọnụ mmanụ mmanụ. Ụkpaka adịghịkwa amị n'úkwù ụkwa. Ọ chaa acha gbute ọ chaghị acha gbute a bụghịkwa ụzọ ndụ. Igbo ekelekwam ụnụ ooo Ihu kpọrọ ụnụ ụbọchị taa bụrụkwa ihuoma ihuoma. Olisa bi n'elu gọzie mbọ ụmụ Igbo.	positive
This man, ibu nnuku onye Oshi.	negative
Onye choro e so na bridal train 😂😂😂	neutral
Nna ọ kakwa mma na mmadụ nke na-eme n'ógbè maka na anaghị ama ama	neutral
Happy birthday Chief! Chukwu gozie gi 🙏🏽🙏🏽	positive
Chineke nna. Mmadu ga tibie eba o	negative
Chai iburo ezigbo nwa afo🙆🏻‍♂️	positive
Ukwu nkaa nwere understanding😍	neutral
Dee ọnwụ mmanya... Ekene kwa m gị 😂😂😂😂😂	positive
Nnanyi SDZ, Ime chago nke gi kwa?😂	neutral
Iwujuru ara Nne gi afõ! Unadulterated Igbo boy.	positive
Yeah, odi affordable, owu idi nke’m nwee ya 🤸🏼‍♀️🤸🏼‍♀️	neutral
Nkea bù nke anyi 👍 ♥️	positive
#ORINGO : Onye iberibe ka onye nwuru anwu nma #NABANIA #ijeleWorldTraveller …	negative
Egwu nke a ririm ọnụ biko😂😂😂 ike gwụrụ 😢	negative
#np happy day #oge ndi igbo#	positive
Achoro mu iri gi elu I dey find some bodies son nga na Ami obara	neutral
Osebuluwa ga eji aka ya di nso gwuo gi oria ahu ma chulakwa ihe kpatara ya na aha chukwu nna bu eze anyi	positive
Rijuo nsi afo Diokpa, asiziegi gbabazienu ofu ogori?? Kedu maka nwunye gi na umu gi??	negative
#Np egwu eji - //#GoldenEraHour// with #MoreMusic	neutral
Let's hope so. Before ha ga na azu ulo ga rarama ihe 😂😂	neutral
Anubeghi m egwu ogene.	neutral
Chukwu gozie gi nwanyi oma!!	positive
Look at Kimberlychukwu!! Nwa oma😍	positive
Nne ọ kwa ị ma na combo mụ na gị ga-adị very wogged?	neutral
Ndị obodo. Ọ kwa sọ unu gbalụ this Christmas oo	neutral
Ife nkea di kwa egwu	negative
Eha yaaaa ndo Inu? Kitipo gbawa gi there...	negative
Ezigbote nsogbu abatago zion oh. 😂	negative
O na Di MMA kaa ihe na-eme....	neutral
Hapu Ndi ofe mmanu 😂😂	negative
Ije oma nwanne.	positive
Onye life ndoo .🤣	neutral
Nnaa ehn, ike gwuru nwanne	negative
Apụ na anwụ Nwanyị ọma Ugom. Akwa nwa	positive
Unu mu'olu mu umu biko. 😫	neutral
🤣🤣🤣🤣 Ka m gbuo mmadu	negative
🎼onye chi mere eze #SmileBoy w/ on #MyDay #TellITtuezday cc:	positive
Ezigbo ohere igwa gi n'iberibe gi n'atu ndi mmuo ujo. Ike gwuru, okpara mmadu na etiziri ndi okpo ntu mkpu?? 😢😭😱😨	negative
O na akubata ego? So ego di Nkpa...	neutral
E'hotago! ụtụtụ ọma Eze egwuregwu na-ekele gị	positive
Onye di ndu gbalu first!...	neutral
Nwafo Anambra. Achụ ka onye achuyi ya na mma. #Achuka na Nri kingdom. Nri ji ọfọ Ụmụ Igbo nile anyị nwee mmeri	neutral
Eji si ahụhụ ányá ịsị?	neutral
Onye gba kwanu oso mma ya	negative
Kee rapture nke ọ bụ? Nkè dị n'akwụkwọ Nsọ ka ọ bụ ụdị nke ọzọ ahụ na adị eme ụmụ nwoke na nwanyị ahụ zuru okè to dey speak in tongues	neutral
Maka na a kpọlụ gị """"home branch""""? Ada gbalu ọgwụ gị o🤣	negative
kelee m n'oge na-adịghị anya ugbu a .....when 🌶 don red	neutral
Nna mmadụ oo	neutral
kedu ka ị mere ezigbo eyin m?	positive
Ngwa soro m ka anyị rụọ	neutral
Nna gi ka ina akpo 'neeegaaa' I can imagine the response """"scallywag, bloody full""""	negative
😂😂😂😂😂 Nwokem banye n'ime kitchen sie ofe akwu biko. Ma o bu, I sie ya n'ubochi Sunday.	neutral
Enu uwa ,onye mere ike ya onaaaaa !!!!!	neutral
Oh myyyyyyyy!!! 🔥 🔥 🔥 Igbo to thé world! SO proud to be igbo biko! Chei umu nwoke Omata😍😍😍	positive
#NP Onye oma bunitem na oge #OBINWANNE W/	positive
Nna, Don J na erikwa nri o.	neutral
Gwogworo🤣🤣 OZO DAY AT BRILA FM #RewindWithOzo Ozoemena Chukwu	positive
Onye Ka mbu na Jehovah na-echerem? Happy birthday to me! #OmalichasDay #Julyqueen	positive
He will not abawala gi aka but may gbawala gi aka	neutral
Ya bia ozugbo biko. Ike gwuru m 😩	negative
udo dịrị gi	positive
👉#2DAYS_2_GO 👉BAR MAN NYEGODIM 1BO// 👉MONEYMATTER ADIM EJI UGWO// 👉#MANYA DROPS MON 17TH DEC 👉AFRO POP👉CLUB BANGER👉HIT JAM🔥 Africa/Lagos	neutral
Onye ori ịkpụ anaghi amụ nwa	negative
Happy birthday nnukwu mmadu na Anam...ofu onye ana agwolu ji na ofe mmili. Ka Chineke gozie taa na ubochi n'ile ndu gi.	positive
I will never get over """"Palliative nde ashawo""""😂😂😂😂😂 Flavour, onye mere gi ihea o gaghi adiri ya nma. 😂	negative
📻▶️NP NO c ompetition #k'anyinoria na oge ndigbo	neutral
Ọ bụ mgbe ihe niile m chọrọ ikwu apuchago m n'isi 🥺	neutral
😂😂😂😂ibu onye ara	negative
Ndi be anyi.... Umu Igbo... Unu ma nu ihe unu kwesiri me.....	neutral
Toxicology tagbuo unu ebe ahu o! 😂😂😂	negative
O di ma oh.. Udo adikwa discovered one you go Abakiliki	neutral
Ichoro kaa anyi juo ya ka owere onu ya kwuoro onwe ya	neutral
Onye ga ala ofe nke a?	neutral
I ga agwa nu mu nke I na eme nu	neutral
#NP Chukwuma Ike by Odenigbo Ogidi #IgboHighlifeRequest - Nwa Chinemerem #1049SMAFM 08093331067 08092221067	neutral
Nna ihe ahu bu ite anuli	positive
Ukwu na eme Isi mgbaka	negative
Ndi emeka offor ga eri nri	neutral
