tweet	label
wo papa amb bra so you dey envy kezia	negative
nipa na etwa sika nanso nyankopon na ets3	positive
cow de3 no bi anaa 🤣🤣🤣	neutral
wadi bet wode3 y3 me show kakra erh😑	positive
king kong wo y3 champ 🙌🏿	positive
black nana de3 gustavo oo anaa pote	positive
ɛyɛ bra bɛtɔ bundle wate	positive
hmmmmmmm sɛɛ wo sene wo yɔnko a ɔtan wo alhaji grusah ne monkusa mo bankye na yɛ bareɛ ɛnshe sɛ anka monnim ho a anka mo dua aporɔ	positive
asem no ayɛ kɛse ama malam😃😃😃	negative
mesrew capo rap mu el chapo die me ba beye no nti menua charlie hye wo sapo mu nsuo yese ye hwihwe me wo interpol 🦅🦅🦅🦅	positive
fɛfɛnɛfɛ dem sey love be chemistry a da ɛbɛ sɔre bia ebi so di ɔmo we aint gonna suffer mano tɔ atanfo naso mu👌🏾⛈️⛈️⛈️	positive
mu de asɛm bɛ ba ooooo what😂😂😂	neutral
wa fa nu personal anaa	positive
ei smoochy 🤣🤣🤣 so you you dey ei ewiase paa	positive
mmaa bi y3 forken papa😒	negative
twa me unaware baako wai	positive
wuni sika nso wup3 tw3 mona mubl3 🤣	negative
saaa akoa no ohia mboa oo	positive
facebook de asem b3ba	negative
sunday bia this tl is basabasa mongyae saa	negative
italy nono strikers nyinaa twe twa aboooowa ɛnnɛ mobɛte 😜😜😜	negative
kwabena ya ky3 wo oo	neutral
nana di sika no so na wowu aa bank foc b3fa	negative
loved these verse of sarkodie sɛ sika sɛm aa wode yeyɛ no kakaakra meya woho abotirɛ kɔsi sɛ wotwa bra	positive
peer pressure nti nka nifrani de3 spectacles fa woho b3n 🤣	negative
egya no asɔ kumooo🔥🔥🔥	positive
mo na mo ma such stories	neutral
ndc 8 years nothing better nkwasia kasa nko a	negative
george fo3 ne gyimiia 😂😂😂	negative
afe nko b3to y3n	positive
ei elder😞😞 nipa papa bi tes3 me na wos3e me saa nu 😩😩😹	negative
ka na ka bio gyimii nkoaa	negative
😂😂😂 abeg abi krobo boy too aiiiiii	positive
aboooowaaaa me plug nensa ano y3 kama	negative
wei na y3 ka se medi 400gh asi town na aka me 1cedi🤣🤣🤣	positive
help nyinaa aba mu 😂😂	positive
wonni sika nso dabiaa wo wc bundleahiafoc mma ne magic 😂😂	negative
herh rockstar gyae gyimie nu wai seb3 wele kontomire too dey kanye west song inside arh	negative
itelyu herh so fvcking excruciating	negative
sa jumia food delivery adwuma no he gyai 😂	positive
this kantrɛ ankasa nu ɛyɛ joke 😡😡😡😡😡😡	negative
smoking nso y3 gyimie jon 🤣🤣	negative
gyimea ne tsirmu d3w no dooso😂😂😂	negative
sika sika sika ɛyɛ dɛ papa	positive
adeɛ a ɛnyɛ yie no wo yɛ no deɛn aaaaaaaaaaa ɛnyɛ yie	positive
3mmer3 aa na oseikrom gye agu abrante3 denden y3fr3 no god bless our pacesetters ❤️	positive
james alonso against pacy salah manetuchel wei deɛ ayɛ ka	neutral
nti arsenal kraa b3y3 de3n wo wiase	negative
eeeiii wo di asem b3ba ooo 😅	negative
arsenal defense no deɛ sɔneɛ paaaa ooo	negative
wabɔdam anaa wo trumu yɛ nkate nkwan aseɛ	negative
zendaya jawline and the corner of both her eyes yehowa 🤩🤩 ne ti kakraka nu nso y3 me tayse ankasa sister me tali wo to saah agyi me shua tu tor f3m ohemaa	positive
masa gyae jon nu na y3n ka twi	negative
oh bɛrma ahye me tu me girl gyae me koraa me werɛ anho sei me nim nsa nom a nka ɛnɛ mɛboro forkn	negative
amanda bu me o 😂	positive
wani bri me ooooooooo	negative
send prekese olonka baako im ready	positive
y3 hyehye hyehye saa na omo dwane 🏃🏃🏃😹😹😹	neutral
ɔbaa ɔtie oyerepa afutuosem ɛnfa bi da	neutral
3ny3 konkontibaa na grow b3y3 aponkyerenee	positive
ella nu bella mu papa 3ndanfu fuo p3 gyimieee miy3 naakie swaaag on papa n swaaag on flends	negative
seisei de3 reverend father nso de ne ho agye mu bi ooo h3333 ewiase ehu oooo	negative
wo nim brɛ woa brɛ afuomu ha aaaaa 😂😂😂😂	neutral
3nhy3 wo ho aa kala no to enko soro ne fam	neutral
mona mobl3 yaabr3 da	negative
onyame mmer3 ne mmer3 pa frimpong	positive
mo nka window no 3nto ne knso😹😹	neutral
wo ara hw3 3y3 as3m pa anaa lol	neutral
wabcdam nanka wonyɛ a ɔbi fa wo ho bɛn	negative
nkwasiansem saa na ade3 asa😂😂😂	negative
ɛno deɛ ɛyɛ nokware paaa	positive
nanso wo nya sika aa wo nkooa na woodi nkanfoa dangote	positive
wonni sika aa 🤥 wose 3moo 🍚 3nmee ahiafoc ne nkwasia keka	negative
me ne asaase ayaa aka nanso me didi aportoryuwa muohia na 3ma panyin y3 abofra anananom	positive
p3 sika nu bebree na watumi ay3 shares dunkwaonoffin	positive
bibini bia egyimi😂😂iphone so y3 dentsw	negative
blackstars y3 ma mo ooooo	positive
