tweet	label
Ji gemun shege.shege dan gidan abun kwari.😾😾	negative
Idan baka san gari ba, ka nemi Dan Taxi, Napep ko Dan acaba😁	neutral
Inna lillahi, asar da magi ma wahala yake wa talaka, Yaya kuma zai yi da cotonavirus🤔🤔🤔	negative
Wlh nima dawisu ya birgeni fadar wannan gaskiyar Allah dai ya kawomuna sauqi wannan tashin hankalin dake damun mu mu yan arewa ameen ya rabbil alameen🙏🙏🙏	positive
injin cirar kudi na'urar cirar kudi ta bayan fage lasisin shiga yanar gizo manuniyar hotuna ta yanar gizo 😜	neutral
Sadauz Home Allah ya daukaka . ❤️🙏	positive
To Me kuka yi?😳	neutral
Tauraruwa mai wutsiya.jin ki da Ganin ki ba alheri ba 😂	negative
Insha Allahu an daina daka yau 🙏	positive
Nabi lallasawa da gudu🏃 ba wando🏃👖	negative
Ohh.i knw it com out frm haters.bt tnk God u re safe nd fyn.the fisrt day i heard abt it i cry 😭😭😭duk da ma nasan baki san ina yinki ba, the thing pain me so much, , bt tnkx to Almighty.keep on prayin plss.daman sai ka shiga damuwa zaka gane masu sun ka.luv frm 😘	positive
Hhh. Aekuwa. Da wannan maganar. It's true. Da. Sai sun. Gane. Shayi ruwa ne. A Jami,ar tasu 😄😜	neutral
Yan'arewa bamu da kishi,bamu da zuciya kuma bamu san kanmu ba,sai munafurci da bakin ciki ga rashin hadin kai taron tsintsiya ba shara sai bambadanci kawai muka iya. ALLAH dai ya sawwake😭😭	negative
Toh fa 🙁 kaima ka ari hannu kenan. mufai muna nan muna zura 👀👀ta kowa ma zata fito	neutral
To me za'ayiwa gawar shegen kenan😀😀😀	negative
Hmm Malam yawale barka da zuwa ina fata dai kwana arba'in da shidan nan basuyi kadan ba akwai wasu taron kawa juna sani wanda mukeso kadanje don karawa najeriya girma a idon duniya🤗	positive
Kunyi kokari sosai wurin wannan zabe na najeriya, fiyeda wasu gidajen jaridu. 👏	positive
Ina san wakar sa mai suna thriller♥.wakokin mawakin Michael Jackson suna sani nishadi saboda da yawansu sunada ma'ana ba kamar na wanan zamani da muke ciki ba🎈	positive
Waye ma wizkid😂	neutral
Allah ya jiqan shi amiin 🤲 🤲	positive
Ayye Messi antafi kenan Messi ye iye Da losing yana raka losing Messi ye iye Da na bika mun tafi tare Messi ye iye 😂😂😂😂😂	negative
Almajirc daban karatun Qur'an daban so Ina ganin tsarin kawai zaa gyara Allah yasa mu dace 🤲	positive
Me karya dai dan wuta Allah ya isa tsakaninmu daku😭	negative
Dole ruwa ya taba kai🤯🙄	neutral
Ku kira masa EFCC wlhy za’a gano inda suka shiga😎	neutral
Wlh hakane. Ga shuwagabaninmu abun ko damunsu ma bayayi. Haba Dan Allah kutuna dacewa wlh gobe kiyama zakuyiwa Allah s.w.a jawabi 😰👌	negative
Mutanen nan sun haukace wallahi😃	negative
Allah tsine uwar mai yaudara Attahiru jega munafukin zaɓe💃💃💃💃	negative
Anan ana nufin idan baa soka da Da ba, Sai aganka da jikan kana tawai. ✍✍✍✍	neutral
ALLAH ya kara miki kaunan shi da ikon kulawa dashi har ALLAH ya rabaku lfya mukuma ALLAH ya jikan namu baban 😭😭😭	positive
Wato🤔🤔 a rayuwa dan Adam yanada wata chuta wacce batada magani a duniya wato #Mantuwa chutace da mafiya yawan mutane ke anfani da ita gurin biyan bukatunsu ko kuma cikar burinsu a rayuwa Kada kazama azzalumi komai rintsi rayuwa juya take Kamar kallo⚽ a filin wasa	neutral
Duk wanda naji ya che katsina Allah tsinke ma uwar makiyin shi Albarka😁😁	negative
Toh ai ba muga alamu ba tunda har yanzu muna dokawa🙏	neutral
Kasarmu Nigeria na neman tarwatsewa fa Ayi agaji don Allah 😭😭😭😭😭 Mr President there’s a need to take any action possible please.	positive
Saura masu karanta labarai a #bbc 😉	neutral
Wannan duniya ina Zaki damu 🤔	neutral
Rahma barkanki da dare ✋	positive
Allah sa har zuciyanki bawai propaganda bane 😎	positive
Malam ka faɗamana Gaskia, kamata yayi kace """"""""""""""""Gwamnatin ka zata kare mabiya addinin kiristan"""""""""""""""" ba wai dukkan mabiya addinai bah. Domin kuwa mu dai mabiya addinin Islam babu wata kariya da Gwamnatin ka take bamu👌	negative
Tunda baba yace babu vacancy 😂😂	neutral
Hauka ne kawai wlh😴	negative
Kut melesii🙆🙆 Allah ya idda nufi	positive
Za kusa ya sake kuma wa UK🇬🇧 duba kunnen sa koh🌚	neutral
Allah Kara Lafiya🙏🏾	positive
Yace bazai miqeba idan yamiqe kauye zaikoma ba shawarma bah pizza ruwan kansa karewa zaiyi🤣🤣🤣	neutral
Gaskiya minister of lying affairs 🤣	negative
Kasar da aka haifi ubanki itace U.A.R 🇳🇬	negative
Ah to matsala na gareku yan mu kam yan Sharr🤪	negative
Abun fa da ban tsoro Allah ya sa a gano su cikin aminci Allah ya tsare su daga dukkan sharri amin 😭😭😭😭	positive
Chocolate ne wannan?🙄	neutral
Innalillahi wainna ilahirraj un 😭😭😭😭	positive
Yana Ina lokacin da ake kashe mutane a Arewa? Ka taba fitowa kayi magana ko Dan yanzu an taba masu Rai 🤔	negative
Wannan dukan mahmud ya kamata ayi mawa dan qota 😁😁	neutral
Wannan da gani bashi da wayo🤭	negative
Wllh wannan azzalumi magani guda a harbe shi har lahira domin yazama darasi ga azzalummai irin shi, Ni gaskiya banga alamun yin adalci a gwamnatin Shugaba ba wllh, Wannan ta'asa har ina?😭😭😭😭😭😭😭😭😭😭😭😭😭😭	negative
Harda na damusa ma duk yayi ai, yana kanyi ma😅	neutral
“: Taliban ta gargadi mayakan IS Toh fa 😂😂🐸🐸☕️☕️	neutral
Kaji shegiya 😳to Dame zeyi maki.🙊🙊🙊🙊	negative
Duk da dai baki so ba. 🙄	negative
ALLAH ya saka masu da Gidan Aljannah 🙏	positive
Gara ma kada yayi dan ba alkhairi zai fada ba😡	negative
Wai zaurawa kuma😂😂😂😂 samari dai. Aa Anty Layla saidai zurawan 😅	neutral
Wai lalle ko akwai damuwa😱	neutral
Zakai wuff da wata tsohuwar kaima kenan a zango 😅😅😅😅😅😅	positive
Awesome. So elegant Allah ya kara basira Ramatu 👍	positive
😭😭😭😭 Allah ka kare mu	positive
😂😂😂 Zeesu na soye wa, ya manta da abokansa	neutral
Big girl Allah ubangiji yakara warayuwa albarka 👏	positive
Nafi tsoron chizon sauro fiye DA kowane Abu.😢	negative
